ID,Address,Status,Listing Price,Square Ft,Year Built,Beds,Baths,Days on Site,Latitude,Longitude,URL,House Image,Google Map Image
1,212 Morgan Circle,NEW LISTING,300000,1718,1994,3,2,4,39.49118,-84.74771,https://www.xome.com/homes-for-sale/212-Morgan-Circle-Oxford-OH-45056-389749101,https://ap.rdcpix.com/a40cc8a73e669a504a5d06761ff4293dl-b260178635od-w1024_h768_x2.webp?w=828&q=75,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3079.0313848335445!2d-84.75027002562332!3d39.49120591145183!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403ce1f3d7ddad%3A0xf89cf9a7ef8f0c13!2s212%20Morgan%20Cir%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712547450345!5m2!1sen!2sus
2,6150 Fairfield Road,Active,249900,1234,1960,4,2,48,39.50825,-84.75697,https://www.xome.com/homes-for-sale/6150-Fairfield-Road-Oxford-OH-45056-388346064,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1794387.jpg?cd=63846958860,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6156.551321903466!2d-84.7569561!3d39.5082677!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d3ea6459fd5%3A0xe8f8dbc86e9b2ba2!2s6150%20Fairfield%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712850945902!5m2!1sen!2sus
3,784 High Meadow Lane,Active,375000,1420,1994,3,2,52,39.50042,-84.7668,https://www.xome.com/homes-for-sale/784-High-Meadow-Lane-Oxford-OH-45056-388260299,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1794177.jpg?cd=63845500320,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.6236319827835!2d-84.76940222562267!3d39.50041241090184!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d2e8caa44cd%3A0x16eb3c9409b51be7!2s784%20High%20Meadow%20Ln%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712851520851!5m2!1sen!2sus
4,4260 Nichols Road,Pending,324900,1968,1972,2,2,52,39.47126,-84.67455,https://www.xome.com/homes-for-sale/Nichols-Road-Oxford-OH-45056-388244957,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1793981.jpg?cd=63847653000,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3079.8267419594426!2d-84.6990585121158!3d39.47324267169499!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403c23684d4b89%3A0xb2d9392366f04e75!2s4260%20Nichols%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712852480267!5m2!1sen!2sus
5,44 Hidden Creek Drive,Active,529900,3131,1989,4,3,61,39.50612,-84.7691,https://www.xome.com/homes-for-sale/44-Hidden-Creek-Drive-Oxford-OH-45056-387991621,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1793321.jpg?cd=63844624980,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.370888513339!2d-84.77168622562235!3d39.50611811056091!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d33cb66afb1%3A0x62989569448aecca!2s44%20Hidden%20Creek%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712852654364!5m2!1sen!2sus
6,125 Ridge Avenue,Active,375000,1688,1958,3,2,68,39.5092,-84.75917,https://www.xome.com/homes-for-sale/125-Ridge-Avenue-Oxford-OH-45056-387881311,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/addl_picts/0/0/1790884-1.jpg?cd=63847736100,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12312.928662290193!2d-84.77763334542203!3d39.509249496736984!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d396bb44aab%3A0xbc199bd349fd31be!2s125%20Ridge%20Ave%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712853451157!5m2!1sen!2sus
7,7040 Contreras Road,Active,739900,2971,2007,4,4,72,39.51937,-84.78475,https://www.xome.com/homes-for-sale/7040-Contreras-Road-Oxford-OH-45056-387764552,https://xomesearch.propertiescdn.com/ListingImages/ohdabr/images/0/0/902333.jpg?cd=63839438760,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d49245.10767527477!2d-84.78597086419872!3d39.51856944984812!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x884022b9f69f7e13%3A0x28b20ce963487687!2s7040%20Contreras%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712853649777!5m2!1sen!2sus
8,550 Melissa Drive,Pending,259900,2367,1972,4,2,81,39.49829,-84.75159,https://www.xome.com/homes-for-sale/550-Melissa-Drive-Oxford-OH-45056-387537054,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1792342.jpg?cd=63844563600,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.715774735824!2d-84.75408472562285!3d39.498332111026095!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d18bbcaf8b7%3A0xae2f597775290f1c!2s550%20Melissa%20Dr%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712853736316!5m2!1sen!2sus
9,4701 Booth Road,Active,290500,1904,1960,4,3,87,39.47821,-84.71242,https://www.xome.com/homes-for-sale/4701-Booth-Road-Oxford-OH-45056-387344500,https://ap.rdcpix.com/e42d641eced4d055350bad27baf5341cl-m4066603058od-w1024_h768_x2.webp,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12318.420181411617!2d-84.73088664561729!3d39.47825040442815!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403c47a4c2a6d3%3A0x9ff1491d253359bd!2s4701%20Booth%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712854014482!5m2!1sen!2sus
10,5176 Westgate Drive,Closed,200000,2192,1961,3,2,101,39.51706,-84.75351,https://www.xome.com/homes-for-sale/5176-Westgate-Drive-Oxford-OH-45056-386979437,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1790921.jpg?cd=63842525220,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6155.772183475368!2d-84.7535293!3d39.5170605!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d41ea4a2cfb%3A0xbb00f337ee81fd36!2s5176%20Westgate%20Dr%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712855909067!5m2!1sen!2sus
